disruption_id,role_id,industry_id,year,automation_risk_score,ai_replacement_index,future_safe_score
123,1,18,2021,25.6,21.68,73.08
124,1,18,2022,29.28,30.35,70.41
125,1,18,2023,25.49,24.2,73.9
126,1,18,2024,25.48,27.81,75.88
127,1,19,2018,23.07,23.07,77.0
128,1,19,2019,22.44,21.76,76.13
129,1,19,2020,23.58,27.5,76.96
130,1,19,2021,22.05,19.72,76.74
131,1,19,2022,23.64,24.98,77.59
132,1,19,2023,30.75,24.09,68.1
133,1,19,2024,26.97,24.44,72.29
134,1,20,2018,23.54,22.04,76.54
135,1,20,2019,20.65,22.49,78.77
136,1,20,2020,20.76,18.58,79.09
137,1,20,2021,22.68,22.48,76.6
138,1,20,2022,24.98,25.32,74.82
139,1,20,2023,28.73,23.3,72.03
140,1,20,2024,25.57,23.39,73.12
141,2,1,2018,15.73,13.28,83.45
142,2,1,2019,19.88,18.76,80.76
143,2,1,2020,18.25,14.85,80.8
144,2,1,2021,18.97,20.49,82.31
145,2,1,2022,21.43,23.94,79.2
146,2,1,2023,25.99,26.75,74.91
147,2,1,2024,20.62,21.95,80.11
148,2,2,2018,16.28,16.43,83.55
149,2,2,2019,14.87,16.78,85.47
150,2,2,2020,16.91,16.75,82.29
151,2,2,2021,17.33,15.88,83.5
152,2,2,2022,23.74,22.26,76.31
153,2,2,2023,26.72,23.64,73.32
154,2,2,2024,24.63,23.01,75.96
155,2,3,2018,17.65,18.84,81.96
156,2,3,2019,17.65,15.83,81.97
157,2,3,2020,15.69,13.74,84.22
158,2,3,2021,16.98,19.03,82.49
159,2,3,2022,22.17,24.44,78.02
160,2,3,2023,21.92,20.96,77.55
161,2,3,2024,18.94,14.97,81.38
162,2,4,2018,10.64,11.7,89.44
163,2,4,2019,11.64,11.08,88.05
164,2,4,2020,16.12,16.07,83.17
165,2,4,2021,12.58,12.64,86.49
166,2,4,2022,19.3,17.97,81.17
167,2,4,2023,16.8,19.35,84.11
168,2,4,2024,23.95,24.17,76.81
169,2,5,2018,11.41,10.43,88.3
170,2,5,2019,16.94,20.22,83.01
171,2,5,2020,16.21,14.42,82.49
172,2,5,2021,18.04,16.28,83.4
173,2,5,2022,20.22,20.63,80.32
174,2,5,2023,20.24,20.34,79.47
175,2,5,2024,24.68,23.25,74.47
176,2,6,2018,17.51,19.52,83.87
177,2,6,2019,16.24,14.91,84.4
178,2,6,2020,15.73,15.83,82.9
179,2,6,2021,14.98,15.18,84.47
180,2,6,2022,18.75,17.85,80.44
181,2,6,2023,20.95,20.23,79.2
182,2,6,2024,21.03,17.51,80.06
183,2,7,2018,14.37,15.1,86.99
184,2,7,2019,13.04,13.24,87.83
185,2,7,2020,16.17,14.64,83.76
186,2,7,2021,13.72,13.38,84.97
187,2,7,2022,21.63,25.51,77.04
188,2,7,2023,21.04,20.36,78.36
189,2,7,2024,19.15,22.14,80.18
190,2,8,2018,14.44,18.51,86.18
191,2,8,2019,12.99,11.15,86.51
192,2,8,2020,12.86,12.9,88.16
193,2,8,2021,18.8,17.94,80.85
194,2,8,2022,16.85,16.82,81.79
195,2,8,2023,22.11,20.95,78.9
196,2,8,2024,18.64,19.75,82.71
197,2,9,2018,12.89,11.53,87.07
198,2,9,2019,10.81,10.15,89.26
199,2,9,2020,13.08,14.7,87.15
200,2,9,2021,16.66,15.65,82.18
201,2,9,2022,17.69,16.74,82.25
202,2,9,2023,21.58,21.72,79.64
203,2,9,2024,22.83,18.43,77.21
204,2,10,2018,14.45,11.99,84.06
205,2,10,2019,14.72,12.38,86.1
206,2,10,2020,14.02,17.52,87.32
207,2,10,2021,13.73,11.37,86.6
208,2,10,2022,21.12,21.48,80.02
209,2,10,2023,22.3,20.5,78.21
210,2,10,2024,21.28,21.53,79.46
211,2,11,2018,16.62,20.09,82.98
212,2,11,2019,17.11,16.26,84.3
213,2,11,2020,14.74,14.5,85.92
214,2,11,2021,18.25,15.18,81.44
215,2,11,2022,17.43,19.35,83.87
216,2,11,2023,19.05,17.26,79.82
217,2,11,2024,20.55,21.47,78.53
218,2,12,2018,11.79,11.21,86.84
219,2,12,2019,11.79,9.54,88.99
220,2,12,2020,13.8,14.45,87.03
221,2,12,2021,16.06,17.22,84.47
222,2,12,2022,16.65,17.82,83.0
223,2,12,2023,20.39,19.69,81.0
224,2,12,2024,19.32,16.3,80.61
225,2,13,2018,9.5,7.1,89.23
226,2,13,2019,15.97,19.13,85.43
227,2,13,2020,16.32,12.23,83.73
228,2,13,2021,14.09,12.7,86.75
229,2,13,2022,17.27,16.03,82.96
230,2,13,2023,16.93,15.41,83.49
231,2,13,2024,16.24,18.53,82.5
232,2,14,2018,9.49,7.97,91.72
233,2,14,2019,15.5,11.09,85.06
234,2,14,2020,14.91,17.94,84.8
235,2,14,2021,11.88,13.31,86.83
236,2,14,2022,19.57,17.82,81.34
237,2,14,2023,17.54,18.38,83.5
238,2,14,2024,17.67,18.23,82.83
239,2,15,2018,10.9,10.2,90.29
240,2,15,2019,15.93,13.05,83.59
241,2,15,2020,14.13,15.26,85.51
242,2,15,2021,12.74,12.98,87.39
243,2,15,2022,17.24,18.04,83.47
244,2,15,2023,20.86,19.53,78.28
245,2,15,2024,20.54,23.32,78.62
246,2,16,2018,9.28,9.62,91.6
247,2,16,2019,13.03,15.18,88.39
248,2,16,2020,12.72,12.86,87.49
249,2,16,2021,12.72,14.46,87.89
250,2,16,2022,17.74,17.76,83.46
251,2,16,2023,21.9,19.56,78.48
252,2,16,2024,16.8,18.2,84.42
253,2,17,2018,13.24,14.35,86.36
254,2,17,2019,15.13,14.76,84.0
255,2,17,2020,12.08,8.57,87.42
256,2,17,2021,18.93,20.38,82.34
257,2,17,2022,17.81,15.91,80.74
258,2,17,2023,20.34,24.02,78.67
259,2,17,2024,22.06,24.28,78.08
260,2,18,2018,13.55,16.83,87.11
261,2,18,2019,17.05,16.89,81.58
262,2,18,2020,14.71,13.51,84.51
263,2,18,2021,20.92,21.52,79.48
264,2,18,2022,22.83,22.86,78.25
265,2,18,2023,22.7,26.46,78.28
266,2,18,2024,25.81,26.72,73.59
267,2,19,2018,16.81,15.18,84.05
268,2,19,2019,16.9,20.95,82.12
269,2,19,2020,18.15,19.45,80.55
270,2,19,2021,13.75,14.74,84.97
271,2,19,2022,19.29,23.38,81.92
272,2,19,2023,21.76,21.66,77.86
273,2,19,2024,20.4,20.49,79.49
274,2,20,2018,14.32,13.99,85.65
275,2,20,2019,12.06,14.35,86.87
276,2,20,2020,17.4,18.2,81.21
277,2,20,2021,14.96,13.58,83.9
278,2,20,2022,18.5,18.89,80.71
279,2,20,2023,21.27,18.33,77.43
280,2,20,2024,23.32,25.3,75.82
281,3,1,2018,18.14,14.89,82.22
282,3,1,2019,17.79,19.77,81.4
283,3,1,2020,18.67,16.87,81.55
284,3,1,2021,19.91,17.87,80.55
285,3,1,2022,20.05,24.52,80.43
286,3,1,2023,24.58,20.5,75.89
287,3,1,2024,26.0,20.21,72.72
288,3,2,2018,17.58,14.13,83.37
289,3,2,2019,21.11,21.96,79.04
290,3,2,2020,18.57,18.76,82.93
291,3,2,2021,19.11,20.26,79.53
292,3,2,2022,22.23,19.17,78.3
293,3,2,2023,28.27,28.25,70.79
294,3,2,2024,24.99,25.48,76.5
295,3,3,2018,13.46,9.71,87.04
296,3,3,2019,14.94,15.84,85.16
297,3,3,2020,20.52,16.88,80.7
298,3,3,2021,22.1,21.33,76.52
299,3,3,2022,19.85,20.0,80.99
300,3,3,2023,24.22,23.51,76.58
301,3,3,2024,27.13,25.14,73.51
302,3,4,2018,15.41,14.99,83.84
303,3,4,2019,16.95,16.62,82.59
304,3,4,2020,13.07,14.36,87.54
305,3,4,2021,18.02,16.37,80.81
306,3,4,2022,17.84,16.74,83.1
307,3,4,2023,24.18,25.84,76.26
308,3,4,2024,20.57,22.62,79.88
309,3,5,2018,17.86,19.79,83.27
310,3,5,2019,15.44,11.65,83.51
311,3,5,2020,20.65,19.29,78.04
312,3,5,2021,19.91,19.0,78.69
313,3,5,2022,21.44,21.22,77.9
314,3,5,2023,23.62,26.73,77.59
315,3,5,2024,23.58,20.94,76.02
316,3,6,2018,15.16,15.57,86.16
317,3,6,2019,17.35,15.95,83.11
318,3,6,2020,20.87,21.01,79.27
319,3,6,2021,21.31,19.93,79.96
320,3,6,2022,22.86,20.55,76.92
321,3,6,2023,22.76,22.33,78.1
322,3,6,2024,22.31,22.63,77.52
323,3,7,2018,16.6,16.33,82.84
324,3,7,2019,14.49,17.81,84.22
325,3,7,2020,16.97,15.01,83.88
326,3,7,2021,19.52,18.83,81.55
327,3,7,2022,21.35,19.4,79.72
328,3,7,2023,26.14,26.99,74.49
329,3,7,2024,20.04,19.81,79.42
330,3,8,2018,14.55,11.83,86.5
331,3,8,2019,18.03,19.13,80.61
332,3,8,2020,17.39,18.28,83.59
333,3,8,2021,20.0,21.51,80.21
334,3,8,2022,21.23,23.48,78.61
335,3,8,2023,19.92,17.87,81.18
336,3,8,2024,22.84,23.49,78.33
337,3,9,2018,16.37,14.85,84.84
338,3,9,2019,14.39,12.84,84.94
339,3,9,2020,19.13,18.99,80.07
340,3,9,2021,19.42,19.68,80.37
341,3,9,2022,20.17,19.61,80.12
342,3,9,2023,23.22,24.93,76.37
343,3,9,2024,20.68,19.84,78.57
344,3,10,2018,18.27,19.09,81.2
345,3,10,2019,18.47,16.38,80.52
346,3,10,2020,16.63,20.05,82.52
347,3,10,2021,18.24,15.33,82.05
348,3,10,2022,18.69,20.17,80.82
349,3,10,2023,23.21,22.91,77.68
350,3,10,2024,23.54,26.04,77.56
351,3,11,2018,13.45,15.3,85.7
352,3,11,2019,15.32,12.33,84.26
353,3,11,2020,18.33,20.76,80.33
354,3,11,2021,21.6,20.4,79.79
355,3,11,2022,24.19,24.03,76.63
356,3,11,2023,25.67,23.37,74.23
357,3,11,2024,25.53,21.95,73.38
358,3,12,2018,12.26,9.15,88.64
359,3,12,2019,14.76,14.38,83.81
360,3,12,2020,19.11,23.49,81.47
361,3,12,2021,17.02,19.31,81.85
362,3,12,2022,18.97,15.67,80.12
363,3,12,2023,20.18,17.67,78.5
364,3,12,2024,22.47,18.87,78.75
365,3,13,2018,11.52,10.6,88.04
366,3,13,2019,10.78,11.8,90.69
367,3,13,2020,17.47,21.56,82.64
368,3,13,2021,16.12,16.4,84.61
369,3,13,2022,19.37,20.33,81.55
370,3,13,2023,22.78,23.41,76.63
371,3,13,2024,21.93,19.87,78.45
372,3,14,2018,15.51,13.22,84.29
373,3,14,2019,12.9,11.53,85.97
374,3,14,2020,12.77,10.56,88.42
375,3,14,2021,14.02,14.99,86.66
376,3,14,2022,19.46,20.43,80.08
377,3,14,2023,22.86,18.6,77.37
378,3,14,2024,21.97,25.89,77.19
379,3,15,2018,10.64,11.42,88.27
380,3,15,2019,14.35,10.56,84.26
381,3,15,2020,12.73,10.0,85.89
382,3,15,2021,13.14,11.52,87.12
383,3,15,2022,17.96,16.22,81.12
384,3,15,2023,17.65,15.64,83.35
385,3,15,2024,19.22,16.62,79.65
386,3,16,2018,11.17,10.04,87.97
387,3,16,2019,11.67,10.51,86.91
388,3,16,2020,15.69,12.1,84.58
389,3,16,2021,14.45,15.16,84.92
390,3,16,2022,18.37,21.74,80.67
391,3,16,2023,22.41,24.65,77.15
392,3,16,2024,21.21,24.13,78.35
393,3,17,2018,17.81,14.24,82.46
394,3,17,2019,18.65,20.54,80.19
395,3,17,2020,16.45,15.24,83.85
396,3,17,2021,18.57,19.9,81.41
397,3,17,2022,19.34,18.83,79.87
398,3,17,2023,22.79,18.59,77.31
399,3,17,2024,22.22,25.51,78.33
400,3,18,2018,15.85,16.06,84.97
401,3,18,2019,20.17,24.54,79.38
402,3,18,2020,15.99,15.9,84.5
403,3,18,2021,21.26,22.2,80.0
404,3,18,2022,19.15,17.29,80.34
405,3,18,2023,21.29,23.9,78.39
406,3,18,2024,21.87,20.04,79.5
407,3,19,2018,12.85,11.05,86.18
408,3,19,2019,18.15,17.03,82.01
409,3,19,2020,15.63,16.38,85.58
410,3,19,2021,19.52,18.96,81.4
411,3,19,2022,18.23,17.35,80.58
412,3,19,2023,20.87,23.54,78.74
413,3,19,2024,21.35,19.57,78.68
414,3,20,2018,13.08,11.63,87.62
415,3,20,2019,14.79,17.91,86.57
416,3,20,2020,15.23,13.62,83.72
417,3,20,2021,19.36,24.3,82.05
418,3,20,2022,21.77,21.95,78.43
419,3,20,2023,23.95,25.86,76.06
420,3,20,2024,25.38,27.28,73.67
421,4,1,2018,14.59,12.68,84.98
422,4,1,2019,17.22,15.25,81.47
423,4,1,2020,12.69,10.63,88.29
424,4,1,2021,14.31,13.48,84.76
425,4,1,2022,20.92,21.32,77.69
426,4,1,2023,22.74,26.97,77.52
427,4,1,2024,20.73,17.78,80.12
428,4,2,2018,15.61,13.75,83.62
429,4,2,2019,16.36,16.69,82.61
430,4,2,2020,14.0,15.7,84.77
431,4,2,2021,18.75,17.21,81.05
432,4,2,2022,21.02,24.84,78.99
433,4,2,2023,21.24,21.69,79.69
434,4,2,2024,23.17,23.05,77.03
435,4,3,2018,11.67,7.98,88.55
436,4,3,2019,17.17,14.96,81.34
437,4,3,2020,15.67,11.97,82.88
438,4,3,2021,15.85,18.79,84.5
439,4,3,2022,18.52,21.47,82.65
440,4,3,2023,19.85,19.14,81.38
441,4,3,2024,19.12,16.51,82.03
442,4,4,2018,10.38,9.51,88.69
443,4,4,2019,14.71,16.38,84.78
444,4,4,2020,12.25,14.42,87.49
445,4,4,2021,13.64,12.2,87.19
446,4,4,2022,18.27,16.74,81.67
447,4,4,2023,17.65,15.61,81.33
448,4,4,2024,16.36,17.54,84.23
449,4,5,2018,9.11,12.78,89.78
450,4,5,2019,13.2,16.07,86.72
451,4,5,2020,15.68,14.89,83.07
452,4,5,2021,17.9,17.89,81.57
453,4,5,2022,20.66,16.23,78.68
454,4,5,2023,20.14,20.26,78.44
455,4,5,2024,20.16,23.23,79.3
456,4,6,2018,11.44,10.51,88.86
457,4,6,2019,14.05,17.72,86.08
458,4,6,2020,12.52,14.01,88.34
459,4,6,2021,15.17,12.95,85.88
460,4,6,2022,20.61,21.45,80.26
461,4,6,2023,20.37,19.65,80.17
462,4,6,2024,19.1,19.72,79.74
463,4,7,2018,12.29,13.28,87.09
464,4,7,2019,11.23,10.18,88.9
465,4,7,2020,13.33,14.65,86.62
466,4,7,2021,14.57,17.76,84.24
467,4,7,2022,14.09,15.2,84.92
468,4,7,2023,20.69,19.55,79.76
469,4,7,2024,19.11,17.7,80.33
470,4,8,2018,13.08,12.65,86.4
471,4,8,2019,11.9,9.47,89.36
472,4,8,2020,14.05,16.51,87.24
473,4,8,2021,17.26,15.03,82.57
474,4,8,2022,13.34,13.59,85.36
475,4,8,2023,19.33,20.06,80.95
476,4,8,2024,20.14,20.56,79.26
477,4,9,2018,9.67,8.54,91.8
478,4,9,2019,14.67,14.72,84.17
479,4,9,2020,13.63,16.51,87.02
480,4,9,2021,13.18,16.14,85.74
481,4,9,2022,18.45,20.39,82.96
482,4,9,2023,15.44,14.52,83.54
483,4,9,2024,19.76,18.89,79.53
484,4,10,2018,9.51,9.44,89.76
485,4,10,2019,13.23,15.66,86.06
486,4,10,2020,11.47,8.45,87.87
487,4,10,2021,12.14,12.05,88.67
488,4,10,2022,16.53,17.33,83.3
489,4,10,2023,16.84,18.33,83.43
490,4,10,2024,20.46,21.75,80.84
491,4,11,2018,12.69,12.07,86.65
492,4,11,2019,10.79,10.06,89.63
493,4,11,2020,15.04,10.85,85.12
494,4,11,2021,16.23,20.17,84.78
495,4,11,2022,14.57,16.04,85.28
496,4,11,2023,20.82,19.32,79.87
497,4,11,2024,20.47,17.59,78.76
498,4,12,2018,11.41,9.07,90.07
499,4,12,2019,16.08,18.53,83.79
500,4,12,2020,16.65,14.54,82.68
501,4,12,2021,16.54,17.43,84.39
502,4,12,2022,15.79,14.94,84.04
503,4,12,2023,20.89,17.2,78.81
504,4,12,2024,21.89,24.91,77.74
505,4,13,2018,7.29,6.53,93.31
506,4,13,2019,12.76,15.91,87.41
507,4,13,2020,12.7,15.2,87.46
508,4,13,2021,14.43,15.14,85.74
509,4,13,2022,14.04,15.67,86.82
510,4,13,2023,14.26,11.89,84.8
511,4,13,2024,13.79,13.49,86.65
512,4,14,2018,8.15,11.98,92.73
513,4,14,2019,10.37,12.7,89.66
514,4,14,2020,11.66,12.24,87.19
515,4,14,2021,13.85,15.48,85.04
516,4,14,2022,15.89,14.26,84.07
517,4,14,2023,17.48,20.45,83.71
518,4,14,2024,19.76,18.23,81.06
519,4,15,2018,7.97,5.4,93.3
520,4,15,2019,13.91,10.29,86.21
521,4,15,2020,9.25,6.86,90.92
522,4,15,2021,12.22,12.04,87.88
523,4,15,2022,14.81,13.21,86.05
524,4,15,2023,14.1,13.02,85.44
525,4,15,2024,18.29,17.04,80.72
526,4,16,2018,9.71,8.35,91.61
527,4,16,2019,12.66,12.43,86.88
528,4,16,2020,11.22,12.31,88.56
529,4,16,2021,10.79,13.87,90.49
530,4,16,2022,15.47,16.82,84.55
531,4,16,2023,19.54,15.65,79.81
532,4,16,2024,19.12,15.33,80.87
533,4,17,2018,13.71,11.09,85.31
534,4,17,2019,10.75,12.11,90.74
535,4,17,2020,14.65,12.2,85.5
536,4,17,2021,14.5,11.81,84.18
537,4,17,2022,19.31,20.77,80.92
538,4,17,2023,21.0,23.93,78.46
539,4,17,2024,17.24,17.99,83.17
540,4,18,2018,11.2,9.45,87.76
541,4,18,2019,15.35,16.1,84.64
542,4,18,2020,15.72,16.41,84.76
543,4,18,2021,14.99,15.54,84.31
544,4,18,2022,16.46,16.28,83.84
545,4,18,2023,19.95,16.1,79.44
546,4,18,2024,23.75,23.39,75.08
547,4,19,2018,13.46,9.46,87.53
548,4,19,2019,11.28,12.71,89.44
549,4,19,2020,12.39,12.81,88.36
550,4,19,2021,11.66,9.35,87.81
551,4,19,2022,13.56,15.02,85.33
552,4,19,2023,19.61,19.19,79.99
553,4,19,2024,19.74,23.68,80.24
554,4,20,2018,9.12,8.99,90.66
555,4,20,2019,10.73,12.28,89.75
556,4,20,2020,11.67,15.52,89.7
557,4,20,2021,12.14,15.23,88.75
558,4,20,2022,16.27,18.58,84.4
559,4,20,2023,20.32,17.89,81.12
560,4,20,2024,21.39,21.64,77.55
561,5,1,2018,12.21,15.5,87.31
562,5,1,2019,8.92,7.17,89.84
563,5,1,2020,11.27,9.7,88.77
564,5,1,2021,10.59,13.53,89.79
565,5,1,2022,15.77,14.98,84.97
566,5,1,2023,15.0,16.7,86.26
567,5,1,2024,12.94,16.43,88.21
568,5,2,2018,12.16,14.23,88.09
569,5,2,2019,9.99,7.02,88.79
570,5,2,2020,11.45,11.92,89.95
571,5,2,2021,14.2,16.09,86.18
572,5,2,2022,15.12,10.87,85.22
573,5,2,2023,14.82,15.88,86.65
574,5,2,2024,14.2,10.42,86.63
575,5,3,2018,6.78,7.75,94.22
576,5,3,2019,8.84,9.95,91.32
577,5,3,2020,12.42,15.0,86.66
578,5,3,2021,7.06,5.63,93.08
579,5,3,2022,13.12,12.44,87.68
580,5,3,2023,13.55,10.3,86.05
581,5,3,2024,16.44,13.3,83.73
582,5,4,2018,4.86,4.76,95.37
583,5,4,2019,6.56,6.18,94.94
584,5,4,2020,6.11,5.29,93.45
585,5,4,2021,10.5,11.84,88.8
586,5,4,2022,11.91,12.83,88.87
587,5,4,2023,15.18,13.53,83.57
588,5,4,2024,14.97,17.54,84.16
589,5,5,2018,5.45,5.51,95.99
590,5,5,2019,4.95,8.56,95.47
591,5,5,2020,9.95,10.62,88.67
592,5,5,2021,8.41,11.29,91.47
593,5,5,2022,10.61,11.65,88.44
594,5,5,2023,11.6,9.55,87.26
595,5,5,2024,13.78,12.76,85.55
596,5,6,2018,5.31,8.4,93.51
597,5,6,2019,5.71,8.77,95.48
598,5,6,2020,7.38,6.09,93.2
599,5,6,2021,9.71,11.16,89.48
600,5,6,2022,11.31,10.52,87.38
601,5,6,2023,18.0,14.62,82.61
602,5,6,2024,17.16,16.74,84.29
603,5,7,2018,4.29,7.08,95.54
604,5,7,2019,7.73,9.41,93.36
605,5,7,2020,10.8,8.53,90.45
606,5,7,2021,10.74,14.41,90.6
607,5,7,2022,13.72,13.53,87.4
608,5,7,2023,12.13,16.46,87.1
609,5,7,2024,15.15,13.57,84.27
610,5,8,2018,4.14,5.77,97.35
611,5,8,2019,3.56,2.14,95.75
612,5,8,2020,8.36,6.21,91.05
613,5,8,2021,5.07,4.85,96.34
614,5,8,2022,12.16,8.87,87.23
615,5,8,2023,9.48,9.52,89.44
616,5,8,2024,13.86,11.65,87.33
617,5,9,2018,6.9,7.14,91.61
618,5,9,2019,3.98,2.19,97.27
619,5,9,2020,7.47,6.34,91.53
620,5,9,2021,6.44,5.61,93.72
621,5,9,2022,7.18,8.87,92.0
622,5,9,2023,15.04,14.97,85.9
623,5,9,2024,10.75,8.51,88.46
624,5,10,2018,3.29,5.16,96.28
625,5,10,2019,5.93,4.49,92.92
626,5,10,2020,8.56,8.39,90.55
627,5,10,2021,10.58,11.77,90.6
628,5,10,2022,10.94,13.59,88.2
629,5,10,2023,11.08,9.52,90.17
630,5,10,2024,14.29,17.44,86.66
631,5,11,2018,6.78,7.49,92.92
632,5,11,2019,8.0,6.94,93.02
633,5,11,2020,6.39,8.49,92.68
634,5,11,2021,6.68,9.57,91.85
635,5,11,2022,14.92,14.66,85.78
636,5,11,2023,14.28,15.26,87.2
637,5,11,2024,15.19,14.82,83.4
638,5,12,2018,6.12,8.97,94.55
639,5,12,2019,10.25,9.92,89.96
640,5,12,2020,10.28,9.8,88.57
641,5,12,2021,9.55,13.72,91.73
642,5,12,2022,8.72,7.76,91.81
643,5,12,2023,14.34,15.19,86.61
644,5,12,2024,15.25,17.57,83.65
645,5,13,2018,3.18,2.0,96.56
646,5,13,2019,2.0,2.0,97.97
647,5,13,2020,3.82,4.89,97.18
648,5,13,2021,9.55,11.43,90.37
649,5,13,2022,6.66,9.08,93.5
650,5,13,2023,9.21,11.09,90.79
651,5,13,2024,13.96,14.02,87.27
652,5,14,2018,8.64,9.27,91.24
653,5,14,2019,9.68,12.23,91.74
654,5,14,2020,4.06,2.0,95.38
655,5,14,2021,7.66,4.84,92.14
656,5,14,2022,12.56,13.91,87.77
657,5,14,2023,13.72,13.84,87.77
658,5,14,2024,10.49,11.42,90.16
659,5,15,2018,4.4,5.26,95.08
660,5,15,2019,3.63,6.3,97.07
661,5,15,2020,6.34,9.17,94.29
662,5,15,2021,4.18,6.78,95.75
