trend_id,role_id,country_id,year,quarter,avg_salary_usd,salary_growth_pct,median_salary_usd
62,1,9,2023,,102974.08,6.51,97757.86
63,1,9,2024,,106900.83,3.81,97426.06
64,1,10,2018,,69001.22,,65777.75
65,1,10,2019,,73015.94,5.82,68649.23
66,1,10,2020,,76047.57,4.15,73416.41
67,1,10,2021,,79140.7,4.07,75067.02
68,1,10,2022,,83311.37,5.27,77302.73
69,1,10,2023,,86087.47,3.33,83426.28
70,1,10,2024,,91516.62,6.31,87249.12
71,1,11,2018,,90320.23,,87192.03
72,1,11,2019,,92285.73,2.18,88630.83
73,1,11,2020,,97696.04,5.86,90340.4
74,1,11,2021,,104564.77,7.03,100549.29
75,1,11,2022,,111622.85,6.75,105315.85
76,1,11,2023,,117897.89,5.62,109039.7
77,1,11,2024,,126571.45,7.36,122735.5
78,1,12,2018,,71069.75,,68722.12
79,1,12,2019,,74347.17,4.61,70913.97
80,1,12,2020,,77611.39,4.39,71766.28
81,1,12,2021,,81231.57,4.66,76986.21
82,1,12,2022,,87340.85,7.52,81081.96
83,1,12,2023,,94636.03,8.35,90002.9
84,1,12,2024,,97154.8,2.66,88832.49
85,1,13,2018,,62882.83,,58875.0
86,1,13,2019,,65873.98,4.76,63694.43
87,1,13,2020,,69519.26,5.53,64971.36
88,1,13,2021,,73079.17,5.12,69131.88
89,1,13,2022,,78358.84,7.22,71825.24
90,1,13,2023,,84419.6,7.73,80617.07
91,1,13,2024,,91891.99,8.85,85583.07
92,1,14,2018,,75692.98,,70916.24
93,1,14,2019,,80130.71,5.86,77563.44
94,1,14,2020,,83414.49,4.1,80125.36
95,1,14,2021,,91405.48,9.58,87025.69
96,1,14,2022,,95725.64,4.73,87589.98
97,1,14,2023,,100052.33,4.52,92661.75
98,1,14,2024,,104116.77,4.06,97851.69
99,1,15,2018,,73909.19,,67319.84
100,1,15,2019,,76531.48,3.55,70541.45
101,1,15,2020,,80304.56,4.93,73643.96
102,1,15,2021,,85607.28,6.6,78651.0
103,1,15,2022,,91796.04,7.23,84153.99
104,1,15,2023,,94867.22,3.35,88195.4
105,1,15,2024,,98917.5,4.27,95040.15
106,1,16,2018,,64259.96,,58487.79
107,1,16,2019,,67021.0,4.3,64576.73
108,1,16,2020,,68903.84,2.81,64411.05
109,1,16,2021,,72446.95,5.14,66298.69
110,1,16,2022,,79294.96,9.45,76714.27
111,1,16,2023,,81333.76,2.57,77305.03
112,1,16,2024,,84194.04,3.52,77020.83
113,1,17,2018,,71655.61,,66610.01
114,1,17,2019,,74606.88,4.12,71402.2
115,1,17,2020,,77201.03,3.48,71254.92
116,1,17,2021,,81141.4,5.1,74529.13
117,1,17,2022,,87062.46,7.3,81375.78
118,1,17,2023,,89696.43,3.03,86140.75
119,1,17,2024,,93967.95,4.76,88528.53
120,1,18,2018,,67136.48,,62753.4
121,1,18,2019,,69081.17,2.9,65538.24
122,1,18,2020,,72888.97,5.51,67606.22
123,1,18,2021,,78126.72,7.19,74082.33
124,1,18,2022,,83156.12,6.44,78775.84
125,1,18,2023,,89208.42,7.28,81208.47
126,1,18,2024,,94112.2,5.5,87967.98
127,1,19,2018,,76312.75,,70051.45
128,1,19,2019,,79625.67,4.34,77177.42
129,1,19,2020,,83876.68,5.34,76584.38
130,1,19,2021,,89962.78,7.26,82267.2
131,1,19,2022,,95486.4,6.14,92378.37
132,1,19,2023,,103262.19,8.14,94272.41
133,1,19,2024,,105647.12,2.31,98915.54
134,1,20,2018,,57578.64,,54491.73
135,1,20,2019,,59805.75,3.87,55550.63
136,1,20,2020,,62014.87,3.69,56583.03
137,1,20,2021,,65604.02,5.79,59711.7
138,1,20,2022,,70928.63,8.12,65429.42
139,1,20,2023,,77121.06,8.73,74328.6
140,1,20,2024,,81565.99,5.76,77478.73
141,1,21,2018,,17542.9,,16282.82
142,1,21,2019,,18464.33,5.25,17214.51
143,1,21,2020,,19406.53,5.1,18256.26
144,1,21,2021,,20215.36,4.17,19244.48
145,1,21,2022,,21867.79,8.17,20398.32
146,1,21,2023,,23058.08,5.44,21907.33
147,1,21,2024,,24513.16,6.31,23037.46
148,1,22,2018,,27990.4,,26495.2
149,1,22,2019,,28719.09,2.6,26832.44
150,1,22,2020,,29716.58,3.47,28540.78
151,1,22,2021,,32082.14,7.96,31026.99
152,1,22,2022,,34691.37,8.13,33528.28
153,1,22,2023,,36686.17,5.75,34748.83
154,1,22,2024,,38156.86,4.01,35136.5
155,1,23,2018,,20156.83,,19096.78
156,1,23,2019,,21012.68,4.25,19996.76
157,1,23,2020,,22250.62,5.89,20593.68
158,1,23,2021,,23160.45,4.09,22193.18
159,1,23,2022,,25310.43,9.28,23490.75
160,1,23,2023,,26001.94,2.73,24877.7
161,1,23,2024,,27117.82,4.29,25330.18
162,1,24,2018,,20179.32,,18567.6
163,1,24,2019,,21041.73,4.27,19731.99
164,1,24,2020,,21923.31,4.19,20473.62
165,1,24,2021,,24025.31,9.59,22960.92
166,1,24,2022,,25762.02,7.23,24000.37
167,1,24,2023,,27966.38,8.56,25543.32
168,1,24,2024,,29699.35,6.2,27837.17
169,1,25,2018,,17352.03,,16257.02
170,1,25,2019,,18380.39,5.93,17105.21
171,1,25,2020,,18840.33,2.5,17386.42
172,1,25,2021,,19768.71,4.93,17993.7
173,1,25,2022,,21406.69,8.29,20623.4
174,1,25,2023,,22492.88,5.07,21758.04
175,1,25,2024,,23439.08,4.21,22407.74
176,1,26,2018,,9845.05,,9207.84
177,1,26,2019,,10431.88,5.96,9519.99
178,1,26,2020,,10754.35,3.09,10396.94
179,1,26,2021,,11806.35,9.78,10874.53
180,1,26,2022,,12926.71,9.49,12311.45
181,1,26,2023,,13293.55,2.84,12568.26
182,1,26,2024,,14268.57,7.33,13479.75
183,1,27,2018,,12735.23,,12274.51
184,1,27,2019,,13346.7,4.8,12373.37
185,1,27,2020,,13664.47,2.38,13045.06
186,1,27,2021,,14474.84,5.93,13916.68
187,1,27,2022,,15610.68,7.85,14789.57
188,1,27,2023,,16045.29,2.78,15547.25
189,1,27,2024,,17173.83,7.03,16237.58
190,1,28,2018,,13270.33,,12266.34
191,1,28,2019,,13780.36,3.84,12685.66
192,1,28,2020,,14564.24,5.69,13264.97
193,1,28,2021,,15296.15,5.03,14426.74
194,1,28,2022,,16287.29,6.48,15718.59
195,1,28,2023,,17651.41,8.38,16103.58
196,1,28,2024,,18066.28,2.35,17158.44
197,1,29,2018,,18003.5,,16698.53
198,1,29,2019,,18460.84,2.54,17758.32
199,1,29,2020,,19015.95,3.01,18428.44
200,1,29,2021,,20589.05,8.27,19672.78
201,1,29,2022,,21475.52,4.31,20432.2
202,1,29,2023,,22203.6,3.39,20652.4
203,1,29,2024,,22718.23,2.32,20820.03
204,1,30,2018,,16263.67,,15453.18
205,1,30,2019,,17128.08,5.31,15955.2
206,1,30,2020,,17849.78,4.21,16874.02
207,1,30,2021,,18943.7,6.13,18219.11
208,1,30,2022,,20621.18,8.86,19064.71
209,1,30,2023,,21216.86,2.89,20514.71
210,1,30,2024,,22787.77,7.4,21686.42
211,1,31,2018,,15624.12,,15153.33
212,1,31,2019,,16551.9,5.94,16025.89
213,1,31,2020,,17190.5,3.86,15746.38
214,1,31,2021,,18789.91,9.3,18055.26
215,1,31,2022,,20568.48,9.47,19388.17
216,1,31,2023,,21564.5,4.84,20495.88
217,1,31,2024,,22696.12,5.25,20710.63
218,1,32,2018,,16161.33,,15273.66
219,1,32,2019,,16670.62,3.15,15962.5
220,1,32,2020,,17620.73,5.7,16484.12
221,1,32,2021,,19068.59,8.22,18434.58
222,1,32,2022,,20652.76,8.31,19592.48
223,1,32,2023,,21773.69,5.43,20101.8
224,1,32,2024,,22664.11,4.09,21104.17
225,1,33,2018,,21916.59,,20537.21
226,1,33,2019,,23136.76,5.57,22206.67
227,1,33,2020,,23762.13,2.7,22301.94
228,1,33,2021,,24757.7,4.19,23681.17
229,1,33,2022,,26249.09,6.02,24869.48
230,1,33,2023,,27168.35,3.5,25547.07
231,1,33,2024,,28469.69,4.79,26469.37
232,1,34,2018,,24696.51,,23686.61
233,1,34,2019,,26149.55,5.88,24894.95
234,1,34,2020,,26976.02,3.16,25899.61
235,1,34,2021,,28134.16,4.29,27138.9
236,1,34,2022,,29661.37,5.43,28229.31
237,1,34,2023,,31985.32,7.83,29169.31
238,1,34,2024,,33421.79,4.49,30587.84
239,1,35,2018,,13336.6,,12844.28
240,1,35,2019,,13782.12,3.34,12667.1
241,1,35,2020,,14292.33,3.7,13585.91
242,1,35,2021,,14886.22,4.16,13970.65
243,1,35,2022,,16277.49,9.35,15169.98
244,1,35,2023,,17539.72,7.75,16542.09
245,1,35,2024,,17978.57,2.5,16923.28
246,1,36,2018,,10932.36,,10183.92
247,1,36,2019,,11427.91,4.53,10738.38
248,1,36,2020,,11977.72,4.81,11497.32
249,1,36,2021,,13096.66,9.34,12195.97
250,1,36,2022,,13931.16,6.37,13453.34
251,1,36,2023,,14813.27,6.33,13571.25
252,1,36,2024,,15424.21,4.12,14344.97
253,1,37,2018,,10806.39,,10011.04
254,1,37,2019,,11248.79,4.09,10479.6
255,1,37,2020,,11519.13,2.4,10616.22
256,1,37,2021,,12166.15,5.62,11386.97
257,1,37,2022,,12988.57,6.76,12044.03
258,1,37,2023,,14027.33,8.0,12857.22
259,1,37,2024,,15009.22,7.0,13857.27
260,1,38,2018,,13905.96,,13419.6
261,1,38,2019,,14394.75,3.51,13559.72
262,1,38,2020,,15128.08,5.09,14611.86
263,1,38,2021,,16104.28,6.45,14792.58
264,1,38,2022,,17561.02,9.05,16427.45
265,1,38,2023,,18668.71,6.31,17258.22
266,1,38,2024,,19321.79,3.5,17687.1
267,1,39,2018,,32603.59,,31102.02
268,1,39,2019,,34252.25,5.06,33144.96
269,1,39,2020,,35832.12,4.61,33496.46
270,1,39,2021,,37893.13,5.75,36597.02
271,1,39,2022,,41087.51,8.43,39710.0
272,1,39,2023,,44080.11,7.28,40802.88
273,1,39,2024,,47899.45,8.66,44799.63
274,1,40,2018,,33481.26,,31222.17
275,1,40,2019,,34916.1,4.29,32896.26
276,1,40,2020,,37006.83,5.99,35707.37
277,1,40,2021,,38518.22,4.08,35566.83
278,1,40,2022,,41101.2,6.71,38095.37
279,1,40,2023,,42945.44,4.49,41519.21
280,1,40,2024,,44798.77,4.32,42596.91
281,1,41,2018,,25907.05,,23710.69
282,1,41,2019,,27179.68,4.91,25959.42
283,1,41,2020,,27877.31,2.57,26445.24
284,1,41,2021,,29075.39,4.3,26643.0
285,1,41,2022,,31152.82,7.14,29554.31
286,1,41,2023,,32311.1,3.72,30614.71
287,1,41,2024,,34843.42,7.84,32567.54
288,1,42,2018,,27218.9,,26394.81
289,1,42,2019,,28139.98,3.38,25784.58
290,1,42,2020,,28965.65,2.93,27649.93
291,1,42,2021,,30493.07,5.27,28195.43
292,1,42,2022,,31872.02,4.52,30872.2
293,1,42,2023,,33357.81,4.66,31355.26
294,1,42,2024,,34872.29,4.54,32456.68
295,1,43,2018,,38338.68,,35488.25
296,1,43,2019,,40429.41,5.45,38120.22
297,1,43,2020,,41523.4,2.71,40113.95
298,1,43,2021,,44716.18,7.69,42029.75
299,1,43,2022,,46603.09,4.22,44181.08
300,1,43,2023,,50637.98,8.66,47349.94
301,1,43,2024,,51915.84,2.52,48569.92
302,1,44,2018,,38476.87,,37175.28
303,1,44,2019,,40711.68,5.81,37917.14
304,1,44,2020,,41633.09,2.26,38810.43
305,1,44,2021,,45502.49,9.29,42660.35
306,1,44,2022,,48596.62,6.8,44434.51
307,1,44,2023,,52747.85,8.54,48157.27
308,1,44,2024,,56217.68,6.58,54010.33
309,1,45,2018,,47310.22,,43568.17
310,1,45,2019,,49920.14,5.52,45698.71
311,1,45,2020,,52457.13,5.08,50314.75
312,1,45,2021,,56028.48,6.81,51690.65
313,1,45,2022,,58404.14,4.24,55275.74
314,1,45,2023,,60379.83,3.38,57876.21
315,1,45,2024,,65012.61,7.67,62304.48
316,1,46,2018,,34646.4,,31999.14
317,1,46,2019,,35656.83,2.92,32969.74
318,1,46,2020,,37132.18,4.14,34603.97
319,1,46,2021,,39869.92,7.37,37691.87
320,1,46,2022,,42100.39,5.59,40201.01
321,1,46,2023,,45258.84,7.5,43242.69
322,1,46,2024,,48687.54,7.58,45217.1
323,1,47,2018,,23668.44,,21857.69
324,1,47,2019,,24206.59,2.27,22694.31
325,1,47,2020,,24934.41,3.01,23706.78
326,1,47,2021,,26349.82,5.68,24291.97
327,1,47,2022,,27595.98,4.73,26401.65
328,1,47,2023,,28850.23,4.55,27927.74
329,1,47,2024,,30156.03,4.53,28887.58
330,1,48,2018,,50656.51,,46834.59
331,1,48,2019,,52030.85,2.71,49797.89
332,1,48,2020,,53440.93,2.71,49408.23
333,1,48,2021,,58300.97,9.09,56281.31
334,1,48,2022,,60887.29,4.44,55934.22
335,1,48,2023,,62355.01,2.41,58463.79
336,1,48,2024,,65319.8,4.75,59833.48
337,1,49,2018,,66938.98,,61595.21
338,1,49,2019,,70216.54,4.9,67675.57
339,1,49,2020,,73354.65,4.47,70974.42
340,1,49,2021,,76494.82,4.28,73315.84
341,1,49,2022,,80662.23,5.45,75497.75
342,1,49,2023,,82574.45,2.37,79610.14
343,1,49,2024,,87918.23,6.47,81200.52
344,1,50,2018,,67787.89,,61994.2
345,1,50,2019,,71041.34,4.8,66637.81
346,1,50,2020,,73495.4,3.45,68908.96
347,1,50,2021,,79413.78,8.05,74123.25
348,1,50,2022,,82728.89,4.17,77132.29
349,1,50,2023,,87326.81,5.56,83698.81
350,1,50,2024,,91787.02,5.11,83977.99
351,1,51,2018,,11414.15,,10725.04
352,1,51,2019,,11980.84,4.96,10978.53
353,1,51,2020,,12600.54,5.17,11785.0
354,1,51,2021,,13287.1,5.45,12218.7
355,1,51,2022,,14560.2,9.58,13788.14
356,1,51,2023,,15017.89,3.14,14283.55
357,1,51,2024,,15796.68,5.19,15049.86
358,1,52,2018,,9076.86,,8767.91
359,1,52,2019,,9414.01,3.71,9082.08
360,1,52,2020,,9634.03,2.34,8816.06
361,1,52,2021,,10583.43,9.85,10031.98
362,1,52,2022,,11267.39,6.46,10812.88
363,1,52,2023,,11901.01,5.62,11227.0
364,1,52,2024,,12166.55,2.23,11742.12
365,1,53,2018,,6399.53,,5826.56
366,1,53,2019,,6648.26,3.89,6231.84
367,1,53,2020,,6801.1,2.3,6450.67
368,1,53,2021,,7319.34,7.62,6902.46
369,1,53,2022,,7663.29,4.7,7116.95
370,1,53,2023,,8296.86,8.27,7565.0
371,1,53,2024,,8520.07,2.69,7823.72
372,1,54,2018,,23742.53,,22499.34
373,1,54,2019,,24772.27,4.34,22609.77
374,1,54,2020,,25650.03,3.54,23568.82
375,1,54,2021,,26719.29,4.17,24844.08
376,1,54,2022,,28577.02,6.95,26733.84
377,1,54,2023,,30518.6,6.79,28860.23
378,1,54,2024,,32913.79,7.85,30439.9
379,1,55,2018,,19072.27,,17611.65
380,1,55,2019,,20039.27,5.07,19108.51
381,1,55,2020,,20680.02,3.2,18855.39
382,1,55,2021,,22015.55,6.46,20911.97
383,1,55,2022,,23209.97,5.43,22005.88
384,1,55,2023,,25059.88,7.97,23513.43
385,1,55,2024,,27017.93,7.81,25720.85
386,1,56,2018,,10569.73,,9984.31
387,1,56,2019,,11082.74,4.85,10269.66
388,1,56,2020,,11494.52,3.72,10723.98
389,1,56,2021,,12394.15,7.83,11329.51
390,1,56,2022,,13231.57,6.76,12522.23
391,1,56,2023,,13920.5,5.21,12778.35
392,1,56,2024,,14757.13,6.01,13863.32
393,1,57,2018,,46882.69,,43089.47
394,1,57,2019,,48055.87,2.5,46227.13
395,1,57,2020,,50916.74,5.95,46506.23
396,1,57,2021,,53245.87,4.57,50879.55
397,1,57,2022,,57685.58,8.34,52857.36
398,1,57,2023,,62450.72,8.26,57541.16
399,1,57,2024,,68040.87,8.95,64004.79
400,1,58,2018,,66537.3,,63773.55
401,1,58,2019,,68433.29,2.85,64276.42
402,1,58,2020,,71434.17,4.39,68064.38
403,1,58,2021,,77608.24,8.64,73181.15
404,1,58,2022,,83743.79,7.91,80271.31
405,1,58,2023,,90993.56,8.66,83699.87
406,1,58,2024,,95537.4,4.99,89166.3
407,1,59,2018,,7304.27,,6957.8
408,1,59,2019,,7504.06,2.74,7206.06
409,1,59,2020,,7705.78,2.69,7162.53
410,1,59,2021,,8029.69,4.2,7506.3
411,1,59,2022,,8647.73,7.7,8376.83
412,1,59,2023,,9138.61,5.68,8397.8
413,1,59,2024,,9445.81,3.36,8810.62
414,1,60,2018,,12308.37,,11357.46
415,1,60,2019,,12704.32,3.22,12030.03
416,1,60,2020,,13393.43,5.42,12711.15
417,1,60,2021,,14080.27,5.13,13548.87
418,1,60,2022,,15418.21,9.5,14252.74
419,1,60,2023,,16125.2,4.59,15540.86
420,1,60,2024,,17216.67,6.77,16561.59
421,2,1,2018,,130030.15,,123595.79
422,2,1,2019,,135779.95,4.42,125632.44
423,2,1,2020,,142146.94,4.69,134673.69
424,2,1,2021,,154546.1,8.72,140880.89
425,2,1,2022,,169115.53,9.43,161315.49
426,2,1,2023,,188708.93,11.59,182870.72
427,2,1,2024,,212150.19,12.42,196477.99
428,2,2,2018,,115969.88,,110979.75
429,2,2,2019,,119883.95,3.38,112388.96
430,2,2,2020,,124109.69,3.52,116158.41
431,2,2,2021,,136232.81,9.77,125448.91
432,2,2,2022,,144294.84,5.92,132547.26
433,2,2,2023,,162393.0,12.54,152479.89
434,2,2,2024,,179718.87,10.67,166539.16
435,2,3,2018,,102127.89,,97467.19
436,2,3,2019,,105525.74,3.33,101304.66
437,2,3,2020,,108153.9,2.49,100808.25
438,2,3,2021,,118608.62,9.67,112407.39
439,2,3,2022,,124619.42,5.07,120393.8
440,2,3,2023,,141356.42,13.43,134087.4
441,2,3,2024,,160361.77,13.44,150482.38
442,2,4,2018,,98336.67,,93286.16
443,2,4,2019,,102903.3,4.64,93868.2
444,2,4,2020,,107682.52,4.64,103509.95
445,2,4,2021,,116570.09,8.25,109996.27
446,2,4,2022,,121952.66,4.62,112951.56
447,2,4,2023,,134565.81,10.34,129384.32
448,2,4,2024,,149655.24,11.21,137762.84
449,2,5,2018,,107548.09,,99106.63
450,2,5,2019,,111071.74,3.28,104314.74
451,2,5,2020,,117255.44,5.57,113583.53
452,2,5,2021,,126707.84,8.06,121869.65
453,2,5,2022,,135151.33,6.66,130321.33
454,2,5,2023,,153903.18,13.87,143700.18
455,2,5,2024,,179757.35,16.8,174171.5
456,2,6,2018,,113121.67,,104555.88
457,2,6,2019,,116435.81,2.93,107164.46
458,2,6,2020,,123143.16,5.76,117062.31
459,2,6,2021,,131844.97,7.07,122074.98
460,2,6,2022,,144216.7,9.38,138856.25
461,2,6,2023,,163928.03,13.67,153682.34
462,2,6,2024,,181600.09,10.78,174168.47
463,2,7,2018,,91256.66,,85709.19
464,2,7,2019,,94261.81,3.29,90536.82
465,2,7,2020,,97631.29,3.57,90538.86
466,2,7,2021,,102921.03,5.42,96480.55
467,2,7,2022,,108511.16,5.43,101724.68
468,2,7,2023,,122105.3,12.53,116782.15
469,2,7,2024,,136947.41,12.16,126860.82
470,2,8,2018,,123561.28,,112723.78
471,2,8,2019,,130555.84,5.66,120261.98
472,2,8,2020,,134820.84,3.27,127182.7
473,2,8,2021,,147471.92,9.38,138548.63
474,2,8,2022,,157229.52,6.62,147874.21
475,2,8,2023,,174929.37,11.26,162510.0
476,2,8,2024,,192543.06,10.07,176761.52
477,2,9,2018,,101902.87,,95658.51
478,2,9,2019,,105181.64,3.22,97224.68
479,2,9,2020,,109699.32,4.3,101304.28
480,2,9,2021,,120482.78,9.83,114222.59
481,2,9,2022,,129036.89,7.1,123093.84
482,2,9,2023,,149781.71,16.08,136405.17
483,2,9,2024,,174082.06,16.22,159076.55
484,2,10,2018,,111163.96,,106184.2
485,2,10,2019,,113821.49,2.39,105984.88
486,2,10,2020,,117852.65,3.54,110839.57
487,2,10,2021,,129503.01,9.89,122662.36
488,2,10,2022,,139653.72,7.84,130116.52
489,2,10,2023,,163119.49,16.8,156282.29
490,2,10,2024,,179910.8,10.29,168200.83
491,2,11,2018,,150664.67,,142456.45
492,2,11,2019,,155546.66,3.24,144387.1
493,2,11,2020,,163534.35,5.14,149912.68
494,2,11,2021,,173370.91,6.01,166111.23
495,2,11,2022,,180380.17,4.04,171930.35
496,2,11,2023,,205854.66,14.12,195875.45
497,2,11,2024,,237568.16,15.41,221916.06
498,2,12,2018,,105706.43,,97421.59
499,2,12,2019,,111263.8,5.26,105691.37
500,2,12,2020,,115818.13,4.09,108911.09
501,2,12,2021,,123780.91,6.88,119444.56
502,2,12,2022,,133637.99,7.96,128279.25
503,2,12,2023,,152367.12,14.01,141620.25
504,2,12,2024,,177759.86,16.67,170589.57
505,2,13,2018,,102017.85,,93759.16
506,2,13,2019,,106393.23,4.29,102214.75
507,2,13,2020,,112054.13,5.32,108371.92
508,2,13,2021,,120129.05,7.21,112669.27
509,2,13,2022,,126183.25,5.04,119581.21
510,2,13,2023,,140684.46,11.49,134957.73
511,2,13,2024,,157098.8,11.67,150619.42
512,2,14,2018,,105815.84,,98772.83
513,2,14,2019,,108408.86,2.45,102116.73
514,2,14,2020,,114422.58,5.55,106447.84
515,2,14,2021,,120983.17,5.73,115955.14
516,2,14,2022,,125943.9,4.1,115026.99
517,2,14,2023,,142325.57,13.01,132955.0
518,2,14,2024,,161105.94,13.2,155902.85
519,2,15,2018,,119569.67,,113266.54
520,2,15,2019,,124194.03,3.87,117784.31
521,2,15,2020,,128578.57,3.53,120022.7
522,2,15,2021,,141010.5,9.67,130097.15
523,2,15,2022,,149766.61,6.21,139270.48
524,2,15,2023,,173811.6,16.05,160876.97
525,2,15,2024,,191710.99,10.3,178125.64
526,2,16,2018,,108535.74,,103845.75
527,2,16,2019,,110928.62,2.2,106848.49
528,2,16,2020,,113381.59,2.21,107108.61
529,2,16,2021,,121282.1,6.97,113587.48
530,2,16,2022,,132020.24,8.85,121853.77
531,2,16,2023,,149267.0,13.06,142433.49
532,2,16,2024,,170748.63,14.39,160706.82
533,2,17,2018,,107192.94,,103125.59
534,2,17,2019,,110638.67,3.21,106443.02
535,2,17,2020,,113285.13,2.39,105466.52
536,2,17,2021,,120659.44,6.51,114091.19
537,2,17,2022,,130488.63,8.15,126536.41
538,2,17,2023,,148432.62,13.75,136122.35
539,2,17,2024,,170320.6,14.75,164327.19
540,2,18,2018,,107048.96,,102425.4
541,2,18,2019,,110579.94,3.3,104106.88
542,2,18,2020,,114795.09,3.81,105633.45
543,2,18,2021,,120656.13,5.11,110036.55
544,2,18,2022,,129876.46,7.64,125547.32
545,2,18,2023,,144812.43,11.5,135686.04
546,2,18,2024,,160059.92,10.53,149233.45
547,2,19,2018,,116546.9,,108884.29
548,2,19,2019,,123402.78,5.88,115114.59
549,2,19,2020,,130167.88,5.48,125621.29
550,2,19,2021,,141977.24,9.07,129683.76
551,2,19,2022,,154752.58,9.0,146321.39
552,2,19,2023,,173789.77,12.3,162980.91
553,2,19,2024,,201100.26,15.71,184197.59
554,2,20,2018,,91594.39,,84288.19
555,2,20,2019,,97086.42,6.0,93444.23
556,2,20,2020,,99512.73,2.5,94207.91
557,2,20,2021,,103648.63,4.16,96521.85
558,2,20,2022,,108726.36,4.9,104533.68
559,2,20,2023,,124090.46,14.13,114391.64
560,2,20,2024,,138730.76,11.8,134299.8
561,2,21,2018,,26095.99,,23889.28
562,2,21,2019,,26925.31,3.18,24506.83
563,2,21,2020,,27941.17,3.77,25941.86
564,2,21,2021,,30115.69,7.78,27909.33
565,2,21,2022,,31686.69,5.22,29620.29
566,2,21,2023,,35657.33,12.53,34048.27
567,2,21,2024,,41280.97,15.77,38757.15
568,2,22,2018,,39220.04,,36670.05
569,2,22,2019,,40961.67,4.44,39087.84
570,2,22,2020,,42147.92,2.9,39142.9
571,2,22,2021,,44779.89,6.24,42263.11
572,2,22,2022,,47797.02,6.74,44862.55
573,2,22,2023,,52814.55,10.5,48149.61
574,2,22,2024,,58587.93,10.93,53977.23
575,2,23,2018,,30224.16,,28437.74
576,2,23,2019,,31476.98,4.15,29657.33
577,2,23,2020,,33193.08,5.45,30398.78
578,2,23,2021,,35893.0,8.13,33789.04
579,2,23,2022,,38001.1,5.87,35164.63
580,2,23,2023,,42482.69,11.79,40827.46
581,2,23,2024,,49589.07,16.73,45268.45
582,2,24,2018,,26252.4,,25433.99
583,2,24,2019,,27362.81,4.23,26089.61
584,2,24,2020,,28045.06,2.49,26534.83
585,2,24,2021,,29485.73,5.14,28299.68
586,2,24,2022,,31006.49,5.16,29278.53
587,2,24,2023,,35513.84,14.54,32944.55
588,2,24,2024,,40623.4,14.39,39104.24
589,2,25,2018,,27130.16,,25373.13
590,2,25,2019,,28121.23,3.65,26353.08
